chlorides;total_sulfur_dioxide;density;pH;sulphates;alcohol
0.076;34.0;0.9978;3.51;0.56;9.4
0.098;67.0;0.9968;3.2;0.68;9.8
0.092;54.0;0.997;3.26;0.65;9.8
0.075;60.0;0.998;3.16;0.58;9.8
0.075;40.0;0.9978;3.51;0.56;9.4
0.069;59.0;0.9964;3.3;0.46;9.4
0.065;21.0;0.9946;3.39;0.47;10.0
0.073;18.0;0.9968;3.36;0.57;9.5
0.071;102.0;0.9978;3.35;0.8;10.5
0.0969999999999999;65.0;0.9959;3.28;0.54;9.2
0.089;59.0;0.9943;3.58;0.52;9.9
0.114;29.0;0.9974;3.26;1.56;9.1
0.176;145.0;0.9986;3.16;0.88;9.2
0.17;148.0;0.9986;3.17;0.93;9.2
0.092;103.0;0.9969;3.3;0.75;10.5
0.368;56.0;0.9968;3.11;1.28;9.3
0.086;29.0;0.9974;3.38;0.5;9.0
0.341;56.0;0.9969;3.04;1.08;9.2
0.077;60.0;0.9968;3.39;0.53;9.4
0.0819999999999999;71.0;0.9982;3.52;0.65;9.7
0.106;37.0;0.9966;3.17;0.91;9.5
0.084;67.0;0.9968;3.17;0.53;9.4
0.085;40.0;0.9968;3.43;0.63;9.7
0.08;23.0;0.9955;3.34;0.56;9.3
0.08;11.0;0.9962;3.28;0.59;9.5
0.08;35.0;0.9972;3.47;0.55;9.4
0.0819999999999999;16.0;0.9964;3.38;0.59;9.8
0.089;82.0;0.9958;3.35;0.54;10.1
0.105;37.0;0.9966;3.46;0.57;10.6
0.083;113.0;0.9966;3.17;0.66;9.8
0.073;83.0;0.9993;3.45;0.52;9.4
0.103;50.0;0.9957;3.38;0.55;9.2
0.086;18.0;0.9986;3.4;0.55;9.6
0.086;15.0;0.9975;3.42;0.6;10.8
0.066;30.0;0.9968;3.23;0.73;9.7
0.172;19.0;0.994;3.5;0.48;9.8
0.074;87.0;0.9978;3.33;0.83;10.5
0.088;46.0;0.9976;3.26;0.51;9.3
0.332;14.0;0.9968;3.21;0.9;10.5
0.069;23.0;0.9968;3.3;1.2;10.3
0.05;11.0;0.9962;3.48;0.52;9.5
0.054;65.0;0.9934;3.9;0.56;13.1
0.114;114.0;0.997;3.25;0.73;9.2
0.113;37.0;0.9969;3.25;0.58;9.5
0.066;12.0;0.9958;3.34;0.56;9.2
0.074;96.0;0.9954;3.32;0.58;9.2
0.074;23.0;0.9971;3.15;0.74;9.2
0.069;15.0;0.9956;3.4;0.63;9.4
0.068;14.0;0.9955;3.39;0.64;9.4
0.081;119.0;0.997;3.2;0.56;9.4
0.11;73.0;0.9955;3.17;0.63;10.2
0.084;45.0;0.9978;3.34;0.53;9.5
0.07;10.0;0.9971;3.04;0.63;9.6
0.111;110.0;0.9983;3.26;0.77;9.4
0.076;54.0;0.9975;3.43;0.59;10.0
0.074;46.0;0.9962;3.41;0.54;9.4
0.079;52.0;0.998;3.44;0.64;9.2
0.115;112.0;0.9968;3.21;0.71;9.3
0.085;35.0;0.9968;3.38;0.62;9.5
0.081;54.0;0.9966;3.39;0.57;9.8
0.086;11.0;0.9962;3.41;0.39;10.9
0.079;39.0;0.9968;3.42;0.58;9.6
0.076;15.0;0.9962;3.44;0.58;10.7
0.074;65.0;0.9969;3.28;0.79;10.7
0.074;19.0;0.9962;3.34;0.95;10.5
0.076;27.0;0.9967;3.32;0.54;9.5
0.088;96.0;0.9962;3.32;0.48;9.5
0.084;94.0;0.9961;3.31;0.48;9.5
0.084;43.0;0.9976;3.31;0.53;9.2
0.094;83.0;0.9984;3.28;0.82;9.6
0.093;42.0;0.9986;3.54;0.66;10.5
0.104;30.0;0.9966;3.52;0.55;10.7
0.086;80.0;0.9958;3.38;0.52;10.1
0.08;119.0;0.9972;3.16;1.12;9.1
0.069;15.0;0.9958;3.41;0.56;9.2
0.4639999999999999;67.0;0.9974;3.13;1.28;9.4
0.086;73.0;0.997;3.36;0.57;9.1
0.401;51.0;0.9969;3.16;1.14;9.4
0.069;61.0;0.9959;3.44;0.78;10.3
0.076;40.0;0.9961;3.41;0.59;10.1
0.11;136.0;0.9972;2.93;1.95;9.9
0.062;31.0;0.9966;3.39;0.64;9.6
0.107;125.0;0.9978;3.14;1.22;9.5
0.076;24.0;0.9978;3.48;0.53;9.0
0.079;140.0;0.9964;3.23;0.54;9.5
0.11;133.0;0.9972;2.93;1.98;9.8
0.045;85.0;0.9938;3.75;0.48;10.5
0.0579999999999999;106.0;0.9932;3.85;0.6;12.9
0.102;23.0;0.9965;3.45;0.56;10.7
0.07;22.0;0.9963;3.25;0.63;9.2
0.079;10.0;0.9967;3.39;0.56;9.8
0.08;35.0;0.9972;3.3;0.59;9.0
0.084;50.0;0.9972;3.4;0.61;10.2
0.075;22.0;0.9959;3.31;0.56;10.4
0.077;65.0;0.9967;3.29;0.51;9.2
0.07;36.0;0.996;3.33;0.48;9.4
0.467;69.0;0.9973;3.08;1.31;9.3
0.088;64.0;0.9969;3.46;0.79;9.3
0.091;80.0;0.9976;3.37;0.8;9.6
0.122;153.0;0.9969;3.21;0.69;9.3
0.104;47.0;0.9964;3.19;0.93;9.5
0.084;108.0;0.9964;3.15;0.66;9.8
0.085;111.0;0.9964;3.15;0.66;9.8
0.08;46.0;0.9988;3.32;0.67;9.7
0.09;62.0;0.9966;3.07;0.63;10.5
0.077;40.0;0.9978;3.39;0.61;10.0
0.0819999999999999;28.0;0.997;3.37;0.5;9.4
0.119;56.0;0.9962;3.21;0.6;10.9
0.0969999999999999;89.0;0.9959;3.34;0.54;9.2
0.178;89.0;0.9962;3.3;0.57;9.0
0.075;13.0;0.998;3.49;0.52;9.2
0.08;34.0;0.9976;3.44;0.53;9.5
0.0819999999999999;102.0;0.996;3.39;0.48;9.5
0.146;90.0;0.9984;3.16;0.7;9.4
0.081;12.0;0.9964;3.53;0.49;10.9
0.0819999999999999;12.0;0.9964;3.54;0.48;10.9
0.065;16.0;0.9962;3.42;0.92;10.5
0.072;19.0;0.9955;3.42;0.57;9.4
0.118;134.0;0.9968;3.24;0.66;9.4
0.049;99.0;0.9937;3.63;0.63;13.0
0.06;26.0;0.9952;3.4;0.58;9.8
0.084;29.0;0.9959;3.22;0.55;9.9
0.09;63.0;0.9965;3.19;0.82;9.6
0.089;52.0;0.9968;3.23;0.77;9.5
0.081;45.0;0.9972;3.48;0.64;9.2
0.081;105.0;0.9962;3.33;0.54;9.5
0.081;108.0;0.9962;3.32;0.54;9.5
0.05;63.0;0.9916;3.68;0.79;14.0
0.066;20.0;0.9954;3.34;0.58;9.4
0.1169999999999999;141.0;0.9968;3.17;0.62;9.4
0.087;94.0;0.9944;3.54;0.52;10.0
0.236;88.0;0.9968;3.11;0.8;9.3
0.074;30.0;0.9959;3.42;0.58;10.2
0.089;43.0;0.9975;3.53;0.61;10.5
0.077;11.0;0.9958;3.33;0.53;10.3
